subgenus	group	genus	species	extraction	island	locality	sex	tissue	Ef1g	fz4	Gpdh	Pgi	Yp2
	bristle tarsus	Drosophila	nr_perissopoda_4	M09066	Kauai	Mahanaloa exclosure, 21 Jan 2010	Male	Body soak	JN815413	JN815594	JN815751	JN815915	JN816106
	bristle tarsus	Drosophila	quasiexpansa	M09115	Maui	Piinaau Ridge east, 2 Jun 2009	Male	Body soak	JN815462	JN815632	JN815790	JN815954	JN816155
Bunostoma		Scaptomyza	anomala	M09244	Kauai	Nualolo Trail, 22 Jun 2009	Male	Abdomen	JN815559	JN815713	JN815877	JN816040	JN816244
	ciliated tarsus	Drosophila	atroscutellata	M09075	Kauai	Nualolo Trail, 23 Jan 2010	Male	Body soak	JN815422	JN815603	JN815760	JN815924	JN816115
	ciliated tarsus	Drosophila	brunneifrons	M09069	Maui	Puu Kukui bog, 5 Jun 2009	Male	Body soak	JN815416	JN815597	JN815754	JN815918	JN816109
	ciliated tarsus	Drosophila	imparisetae	M09070	Hawaii	Puu Pili, 20 Jun 2009	Male	Body soak	JN815417	JN815598	JN815755	JN815919	JN816110
	ciliated tarsus	Drosophila	medialis	M09071	Hawaii	Stainback Highway, 21 Jul 2009	Male	Body soak	JN815418	JN815599	JN815756	JN815920	JN816111
	ciliated tarsus	Drosophila	sp_4	M09072	Hawaii	Kukuiopae, 29 Dec 2009	Male	Body soak	JN815419	JN815600	JN815757	JN815921	JN816112
	crucigera	Drosophila	affinidisjuncta	M09049	Maui	Kahanaiki Valley, 18 Aug 2009	Male	Body soak	JN815396	JN815580	JN815737	JN815901	JN816089
	crucigera	Drosophila	balioptera	M09099	Maui	Makawao FR nr. res., 27 Nov 2004	Male	Body soak	JN815446	JN815624	JN815782	JN815946	JN816139
	crucigera	Drosophila	bostrycha	M09163	Molokai	West Kawela Gulch, 14 Dec 2010	Male	Genitalia	JN815490	JN815654	JN815817	JN815981	JN816184
	crucigera	Drosophila	craddockae	M09050	Kauai	Alakai Swamp Trail, 24 Jun 2009	Male	Body soak	JN815397	JN815581	JN815738	JN815902	JN816090
	crucigera	Drosophila	crucigera	M09052	Oahu	Palikea, 23 Sep 2009	Male	Body soak	JN815399	JN815583	JN815740	JN815904	JN816092
	crucigera	Drosophila	disjuncta	M09053	Maui	Waikamoi, Haiku Uka, 20 Aug 2009	Female	Body soak	JN815400	JN815584	JN815741	JN815905	JN816093
	crucigera	Drosophila	grimshawi	M09166	Maui	Waikamoi fence, 22 Dec 2010	Female	Genitalia	JN815493	JN815657	JN815820	JN815984	JN816187
	crucigera	Drosophila	grimshawi	M09165	Molokai	Huewai Gulch, 16 Dec 2010	Male	Genitalia	JN815492	JN815656	JN815819	JN815983	JN816186
