subgenus	genus	species	genus author	species author	body_length	wing_length	body_and_wing_length	sex	type	length notes
	Drosophila	caccabata	sensu lato	n sp	4.0-4.3	4.3-4.7		female		
	Drosophila	mitchelli	sensu lato	n sp	4.0-4.4	4.3-4.5		female		
	Drosophila	basimacula	sensu lato	n sp	4.25	4.75		female		
	Drosophila	cilifemorata	sensu lato	n sp	4.6	5.3		female		
	Drosophila	apicipuncta	sensu lato	n sp	4.7-5.2	5.0-5.3		female		
	Drosophila	bostrycha	sensu lato	n sp	4.75-5.00	5.25-5.50		female		
	Drosophila	fasciculisetae	sensu lato	n sp	4.8-5.2	5.0-5.5		female		
	Drosophila	villosipedis	sensu lato	n sp	4.85-5.20	5.20-5.50		female		
	Drosophila	xuthoptera	sensu lato	n sp	5	5.3		female		
	Drosophila	disjuncta	sensu lato	n sp	5.3	5.7		female		
	Drosophila	spectabilis	sensu lato	n sp	5.5	5.75		female		
	Drosophila	adiastola	sensu lato	n sp	5.55	6.1		female		
	Drosophila	truncipenna	sensu lato	n sp	7.3	7.4		female		
	Drosophila	adventitia	sensu lato	n sp				female		
	Drosophila	albifacies	sensu lato	n sp				female		
	Drosophila	amydrospilota	sensu lato	n sp				female		
	Drosophila	anomalipes	sensu lato	Grimshaw				female		
	Drosophila	anthrax	sensu lato	n sp				female		
	Drosophila	apicisetae	sensu lato	n sp				female		
	Drosophila	apoxyloma	sensu lato	n sp				female		
	Drosophila	artigena	sensu lato	n sp				female		
	Drosophila	attenuata	sensu lato	n sp				female		
	Drosophila	badia	sensu lato	n sp				female		
	Drosophila	balioptera	sensu lato	n sp			5.0-5.2	female		
	Drosophila	basisetosa	sensu lato	n sp				female		
	Drosophila	biseriata	sensu lato	n sp			3.35	female		
	Drosophila	brevissima	sensu lato	n sp				female		
	Drosophila	brevitarsus	sensu lato	n sp				female		
	Drosophila	bridwelli	sensu lato	n sp			4.3	female		
	Drosophila	brunneifrons	sensu lato	n sp				female		
	Drosophila	canuta	sensu lato	n sp				female		
	Drosophila	capitata	sensu lato	n sp				female		
	Drosophila	carnosa	sensu lato	n sp				female		
	Drosophila	chaetopeza	sensu lato	n sp				female		
	Drosophila	ciliaticrus	sensu lato	n sp				female		
	Drosophila	clavata	sensu lato	n sp				female		
	Drosophila	clavitibia	sensu lato	n sp				female		
	Drosophila	clydonia	sensu lato	n sp				female		
	Drosophila	cnecopleura	sensu lato	n sp				female		
	Drosophila	comatifemora	sensu lato	n sp				female		
	Drosophila	conformis	sensu lato	n sp				female		
	Drosophila	conjectura	sensu lato	n sp				female		
	Drosophila	conspicua	sensu lato	Grimshaw				female		
	Drosophila	contorta	sensu lato	n sp				female		
	Drosophila	cracens	sensu lato	n sp				female		
	Drosophila	crassifemur	sensu lato	Grimshaw				female		
	Drosophila	crucigera	sensu lato	Grimshaw				female		
	Drosophila	curticilia	sensu lato	n sp				female		
	Drosophila	curvitibia	sensu lato	n sp				female		
	Drosophila	dasycnemia	sensu lato	n sp				female		
	Drosophila	deltaneuron	sensu lato	Bryan				female		
	Drosophila	denotata	sensu lato	n sp				female		
	Drosophila	diffusa	sensu lato	n sp				female		
	Drosophila	diminuens	sensu lato	n sp				female		
	Drosophila	dissita	sensu lato	n sp				female		
	Drosophila	disticha	sensu lato	n sp				female		
	Drosophila	distinguenda	sensu lato	n sp				female		
	Drosophila	dolomata	sensu lato	n sp				female		
	Drosophila	dorsigera	sensu lato	n sp				female		
	Drosophila	dorsociliata	sensu lato	n sp				female		
	Drosophila	dumalis	sensu lato	n sp				female		
	Drosophila	engyochracea	sensu lato	n sp				female		
	Drosophila	enoplotarsus	sensu lato	n sp				female		
	Drosophila	eumecothrix	sensu lato	n sp				female		
	Drosophila	expansa	sensu lato	n sp				female		
	Drosophila	fastigata	sensu lato	n sp				female		
	Drosophila	flavibasis	sensu lato	n sp				female		
	Drosophila	flaviceps	sensu lato	Grimshaw				female		
	Drosophila	furva	sensu lato	n sp				female		
	Drosophila	fuscoamoeba	sensu lato	Bryan				female		
	Drosophila	fuscoapex	sensu lato	n sp				female		
	Drosophila	gilvilateralis	sensu lato	n sp				female		
	Drosophila	grimshawi	sensu lato	Oldenberg				female		
	Drosophila	hawaiiensis	sensu lato	Grimshaw				female		
	Drosophila	hexachaetae	sensu lato	n sp				female		
	Drosophila	hirticoxa	sensu lato	n sp				female		
	Drosophila	hirtitarsus	sensu lato	n sp				female		
	Drosophila	iki	sensu lato	Bryan				female		
	Drosophila	illusiopolita	sensu lato	n sp				female		
	Drosophila	imitator	sensu lato	n sp				female		
	Drosophila	incognita	sensu lato	n sp				female		
	Drosophila	incompleta	sensu lato	n sp				female		
	Drosophila	insignita	sensu lato	n. sp,				female		
	Drosophila	intermedia	sensu lato	n sp				female		
	Drosophila	involuta	sensu lato	n sp				female		
	Drosophila	ischnotrix	sensu lato	n sp			2.30-2.65	female		
	Drosophila	joycei	sensu lato	n sp				female		
	Drosophila	kauluai	sensu lato	Bryan				female		
	Drosophila	kraussi	sensu lato	n sp				female		
	Drosophila	laciniosa	sensu lato	n sp				female		
	Drosophila	lanaiensis	sensu lato	Grimshaw		6.00-6.70	4.30-4.75	female		
	Drosophila	larifuga	sensu lato	n sp				female		
	Drosophila	latigena	sensu lato	n sp				female		
	Drosophila	lemniscata	sensu lato	n sp				female		
	Drosophila	luteola	sensu lato	n sp				female		
	Drosophila	macrochaetae	sensu lato	n sp				female		
	Drosophila	magnipalpa	sensu lato	n sp				female		
	Drosophila	mecocnemia	sensu lato	n. sp,			3.5	female		
	Drosophila	megasticta	sensu lato	n sp				female		
	Drosophila	melanopedis	sensu lato	n sp				female		
	Drosophila	mimiconformis	sensu lato	n sp				female		
