subgenus	genus	species	genus_describer	describer	BL	WL	BWL	sex	type	notes
	Nudidrosophila	gemmula	n gen	n sp	1.8-2.0	2.2		male		
	Nudidrosophila	gemmula	n gen	n sp	2.25	2.75		female		
	Drosophila	gilvilateralis	sensu lato	n sp	3	3.3		male		
	Drosophila	gilvilateralis	sensu lato	n sp				female		
Tantalia	Scaptomyza	gilvivirilia	Malloch	n sp	1.8	2		male		
Tantalia	Scaptomyza	gilvivirilia	Malloch	n sp				female		
	Titanochaeta	glauca	Knab	n sp	1.8	1.9		male		
	Titanochaeta	glauca	Knab	n sp				female		
	Drosophila	grimshawi	sensu lato	Oldenberg			4.5-5.5	male		
	Drosophila	grimshawi	sensu lato	Oldenberg				female		
	Idiomyia	grimshawi	Grimshaw	Bryan	5.0-5.5	5.3-6.0		male		
	Idiomyia	grimshawi	Grimshaw	Bryan				female		
Trogloscaptomyza	Scaptomyza	hackmani	Frey	n sp	1.8-2.0	2.1-2.3		male		
Trogloscaptomyza	Scaptomyza	hackmani	Frey	n sp	2.2	2.5		female		
	Drosophila	haleakalae	sensu lato	Grimshaw	3	3.8-4.0		male		
	Drosophila	haleakalae	sensu lato	Grimshaw	3.5-3.8			female		
Bunostoma	Scaptomyza	hamata	Malloch	n sp	1.8	2		male		
Bunostoma	Scaptomyza	hamata	Malloch	n sp				female		
Trogloscaptomyza	Scaptomyza	hardyi	Frey	Hackman	2	2.5		male		
Trogloscaptomyza	Scaptomyza	hardyi	Frey	Hackman				female		
	Drosophila	hawaiiensis	sensu lato	Grimshaw	3.5-4.5	3.8-4.75		male		
	Drosophila	hawaiiensis	sensu lato	Grimshaw				female		
	Idiomyia	hemipeza	Grimshaw	n sp	5	6		male		
	Idiomyia	hemipeza	Grimshaw	n sp				female		
	Idiomyia	heteroneura	Grimshaw	Perkins	6	6.5		male		
	Idiomyia	heteroneura	Grimshaw	Perkins	5.7	7		female		
	Drosophila	hexachaetae	sensu lato	n sp	2.8	3.2		male		
	Drosophila	hexachaetae	sensu lato	n sp				female		
	Drosophila	hirticoxa	sensu lato	n sp	2.85	3.2		male		
	Drosophila	hirticoxa	sensu lato	n sp				female		
	Drosophila	hirtitarsus	sensu lato	n sp			2.3-2.7	male		
	Drosophila	hirtitarsus	sensu lato	n sp				female		
	Drosophila	hirtitibia	sensu lato	n sp			2.3-2.7	male		
	Drosophila	hirtitibia	sensu lato	n sp	2.5-2.8	2.7-3.0		female		
Rosenwaldia	Scaptomyza	finitima	Malloch	n sp	1.75	2		female		
