genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		grimshawi	sobrina	seed plants	Araliaceae	Tetraplasandra		flux	1	2	O	15	
Drosophila		grimshawi	sobrina	seed plants	Araliaceae	Tetraplasandra	oahuensis	flux	2	41	O	15	
Drosophila		grimshawi	ciliaticrus	seed plants	Araliaceae	Tetraplasandra	hawaiensis	stem	1	3	H	15	
Drosophila		grimshawi	orthofascia	seed plants	Araliaceae	Tetraplasandra	oahuensis	stem	1	3	M	15	
Drosophila		grimshawi	gradata	seed plants	Araliaceae	Reynoldsia	sandwicensis	stem	1	5	O	15	
Drosophila		grimshawi	hawaiiensis	seed plants	Araliaceae	Reynoldsia	sandwicensis	stem	1	7	H	15	
Drosophila		grimshawi	paucipuncta	seed plants	Araliaceae	Cheirodendron	trigynum	stem	1	19	H	15	
Drosophila		grimshawi	ciliaticrus	seed plants	Araliaceae	Reynoldsia	sandwicensis	stem, bark, flux	2	4	H	15	
Drosophila		grimshawi	orthofascia	seed plants	Araliaceae	Tetraplasandra	hawaiensis	stem, bark, flux	3	79	ML	15	
Drosophila		okala	okala	seed plants	Araliaceae	Cheirodendron	trigynum	bark	3	4	H	12,23	n. sp. marked wings in 12
Drosophila		planitibia	cyrtoloma	seed plants	Araliaceae	Cheirodendron	trigynum	bark	1	1	M	15	
Drosophila		planitibia	neopicta	seed plants	Araliaceae	Cheirodendron	trigynum	bark	1	1	Mo	15	
Drosophila		planitibia	nigribasis	seed plants	Araliaceae	Cheirodendron		bark	1	1	O	15	
Drosophila		planitibia	oahuensis	seed plants	Araliaceae	Cheirodendron	platyphyllum	bark	1	1	O	15	
Drosophila		planitibia	cyrtoloma	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	2	M	15	
Drosophila		planitibia	neopicta	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	2	M	15	
Drosophila		planitibia	substenoptera	seed plants	Araliaceae	Tetraplasandra		bark	1	2	O	15	
Drosophila		planitibia	nigribasis	seed plants	Araliaceae	Tetraplasandra		bark	2	3	O	15	
Drosophila		planitibia	setosifrons	seed plants	Araliaceae	Cheirodendron	trigynum	bark	2	3	H	15	
