genus	species	describer	sex	type	4C	4V	5X	CI	HW	HW/TL	M	N	TL	TL/WL	WL	pupal_length
Drosophila	iki	Hardy 1965: 310	female		0.5 (0.4-0.5)	1.2	1.0 (0.9-1.1)	4.5 (4.3-4.7)	2.5  (2.3-2.6)	0.7	0.3	2	1.8 (1.7-1.8)	0.5	3.5  (3.3-3.7)	
Drosophila	iki	Hardy 1965: 310	male		0.5	1.4	0.9	4.8	1.2	0.8	0.3	1	1.7	0.5	3.5	
Drosophila	illusiopolita	Hardy 1965: 311	male		0.5	1.4	2	4.7	0.8	0.8	0.5	1	1	0.4	2.3	
Drosophila	inciliata	Hardy & Kaneshiro 1968: 251	female		0.4(0.4-0.5)	1.3	1.2 (1.1-1.3)	5.1 (4.3-6.0)	1.3  (1.2-1.4)	0.7 (0.6-0.7)	0.3	3	2.0 (1.8-2.1)	0.5 (0.4-0.5)	4.3  (4.1-4.6)	
Drosophila	inciliata	Hardy & Kaneshiro 1968: 251	male		0.4 (0.4-0.5)	1.2 (1.2-1.3)	1.4 (1.2-1.7)	4.4 (4.0-4.8)	1.4  (1.2-1.5)	0.7	0.4 (0.3-0.4)	4	1.9  (1.7-2.0)	0.5 (0.4-0.5)	4.1  (4.0-4.2)	
Drosophila	insignita	Hardy 1965: 326	male		0.5	1.5	2.4	5.8	0.6	NA	0.5	1	0.7	0.4	1.8	
Drosophila	lissodora	n sp	male		0.5 (0.5-0.6)	1.4 (1.3-1.6)	2.2 (1.6-3.0)	4.6 (4.2-4.7)	0.9  (0.8-1.1)	0.8 (0.8-0.9)	0.5 (0.4-0.6)	10	1.1  (1.0-1.3)	0.5 (0.4-0.5)	2.5  (2.3-2.7)	
Drosophila	longiperda	n sp	female	Allotype: female, samecollection as type, BPBM 16356a	0.5	1.2	1.4	4.3	1.5	0.7	0.3	NA	2.2	0.4	4.9	
Drosophila	longiperda	n sp	female		0.5 (0.4-0.6)	1.2 (1.1-1.3)	1.4 (1.1-1.8)	4.4 (4.0-4.8)	1.4  (1.1-1.5)	0.7	0.3 (0.3-0.4)	11	1.9 (1.6-2.2)	0.5 (0.4-0.5)	4.1  (3.3-5.3)	
Drosophila	longiperda	n sp	male	HAWAI`I: Holotype male, `Ola`a, Volcano Experimental Station Forest, 21.ii.1976,KYK, BPBM 16356	0.5	1.3	1.7	4.9	1.4	0.7	0.3	NA	1.9	0.4	4.6	
Drosophila	longiperda	n sp	male		0.5 (0.4-0.5)	1.2 (1.1-1.3)	1.5 (1.3-1.7)	4.7 (4.3-5.3)	1.4  (1.1-1.6)	0.7 (0.6-0.8)	0.3	11	1.9  (1.6-2.3)	0.4 (0.4-0.5)	4.5  (3.9-5.1)	
Drosophila	luteola	Hardy 1965: 347	male		0.5	1.3	1.5	4.2	0.9	0.7	0.3	1	1.2	0.5	2.3	
Drosophila	macrochaetae	Hardy 1965: 348	female		0.8 (0.7-0.8)	1.7 (1.6-1.8)	2.0 (1.8-2.1)	4.0 (3.9-4.0)	1.1  (1.0-1.2)	0.7	0.6 (0.5-0.6)	2	1.6  (1.4-1.8)	0.4	3.5  (3.2-3.8)	
Drosophila	mecocnemia	Hardy 1965: 354	male		0.6 (0.5-0.6)	1.6 (1.5-1.6)	2.0 (1.9-2.1)	4.5 (4.1-4.9)	1	0.8	0.5 (0.4-0.5)	2	1.2	0.4	3.1  (3.0-3.2)	
Drosophila	melanoloma	Grimshaw	female		0.5 (0.4-0.5)	1.3 (1.2-1.4)	1.4 (1.3-1.5)	4.5 (4.2-5.0)	1.1  (1.1-1.2)	0.7 (0.7-0.8)	0.4 (0.3-0.4)	5	1.5 (1.4-1.7)	0.5	3.1 (3.0-3.3)	
Drosophila	melanoloma	Hardy 1965: 360	female		0.6 (0.5-0.7)	1.5 (1.3-1.7)	1.5 (1.3-1.8)	4.1 (3.7-5.2)	1.0 (0.9-1.1)	0.7	0.4 (0.4-0.5)	5	1.4  (1.3-1.5)	0.4 (0.4-0.5)	3.2  (3.1-3.5)	
Drosophila	melanoloma	Grimshaw	male		0.5 (0.5-0.6)	1.3 (1.2-1.4)	1.6 (1.5-1.8)	4.3 (3.7-4.8)	1.1  (1.0-1.1)	0.8	0.4 (0.3-0.4)	3	1.3  (1.3-1.4)	0.5 (0.4-0.5)	2.9  (2.8-2.9)	
Drosophila	melanoloma	Hardy 1965: 360	male		0.6 (0.6-0.8)	1.5 (1.4-1.8)	2.1 (1.8-2.6)	3.7 (3.1-4.1)	0.8  (0.7-0.9)	0.8 (0.7-0.8)	0.5 (0.5-0.6)	10	1.1  (0.8-1.3)	0.4 (0.3-0.5)	2.5  (2.1-2.9)	
Drosophila	multiciliata	n sp	female	Allotype female, same collection asholotype, BPBM 16355a	0.6	1.6	1.7	4.5	1	0.7	0.5	NA	1.4	0.4	3.4	
Drosophila	multiciliata	n sp	female		0.5 (0.4-0.6)	1.4 (1.3-1.6)	1.8 (1.6-2.0)	4.9 (4.5-5.4)	1.1  (1.0-1.1)	0.7 (0.7-0.8)	0.4	11	1.5  (1.4-1.6)	0.4	3.6  (3.4-3.9)	
Drosophila	multiciliata	n sp	male	HAWAI`I: Holotype #, Kipuka male9, Saddle Road, 5110 ft., 13.vii.1967, WBH,BPBM 16355	0.5	1.5	1.8	5	0.8	0.8	0.5	NA	1.1	0.3	3.2	
Drosophila	multiciliata	n sp	male		0.5 (0.5-0.6)	1.4 (1.3-1.5)	1.9 (1.7-2.0)	4.6 (4.3-5.2)	1.0  (0.8-1.1)	0.7 (0.7-0.8)	0.4 (0.4-0.5)	11	1.3  (1.1-1.4)	0.4 (0.3-0.4)	3.3  (3.0-3.6)	
Drosophila	nigella	Hardy 1965: 385	female		0.5 (0.5-0.6)	1.4 (1.3-1.4)	1.6 (1.5-1.9)	4.4 (3.7-5.2)	1.3  (1.2-1.3)	0.7	0.4	3	1.8  (1.7-1.8)	0.5(0.4-0.5)	3.8  (3.7-3.8)	
Drosophila	nigella	Hardy 1965: 385	male		0.5 (0.4-0.5)	1.3	2.0 (1.9-2.1)	4.7	1.3  (1.2-1.3)	0.8	0.4	2	1.6	0.5	3.4  (3.2-3.5)	
Drosophila	nigropolita	Hardy 1965: 394	male		0.6 (0.5-0.6)	1.5 (1.4-1.5)	2.0 (1.6-2.4)	4.1 (3.5-4.5)	0.9  (0.8-0.9)	0.9 (0.8-0.9)	0.5 (0.4-0.5)	5	1.0  (0.9-1.1)	0.4 (0.4-0.5)	2.3  (2.1-2.7)	
Drosophila	ochropleura	n sp	female	Allotype female, Kilauea Forest, Volcano, 3.vi.1974, HTS,BPBM 16362a	0.6	1.5	1.7	3.9	1	0.7	0.5	NA	1.5	0.5	3.2	
Drosophila	ochropleura	n sp	female		0.5 (0.4-0.6)	1.5 (1.3-1.6)	2.0(1.6-2.2)	4.4 (3.8-6.3)	1.0 (0.8-1.2)	0.7 (0.7-0.8)	0.5 (0.4-0.5)	11	1.4  (1.1-1.6)	0.4 (0.4-0.5)	3.2  (2.8-3.6)	
Drosophila	ochropleura	n sp	male	HAWAI`I: Holotype male, Kipuka Ki, 1285 m, 3.vi.1974, HTS, BPBM 16362	0.6	1.7	1.9	4.2	1	0.7	0.5	NA	1.3	0.4	3.1	
Drosophila	ochropleura	n sp	male		0.6 (0.4-0.6)	1.6 (1.4-1.7)	2.1 (1.7-2.7)	4.2 (3.7-4.8)	1.0  (0.9-1.1)	0.8 (0.7-0.8)	0.5 (0.4-0.6)	11	1.3  (1.1-1.3)	0.4 (0.4-0.5)	2.9  (2.6-3.1)	
Drosophila	paraanthrax	n sp	female	Allotype: female, Mohihi Stream, Koke`e, 30.vii.1963,DEH, BPBM 16368a	0.5	1.5	2	4.9	0.8	0.7	0.5	NA	1.2	0.5	2.6	
Drosophila	paraanthrax	n sp	female		0.5 (0.5-0.6)	1.5 (1.4-1.5)	2.0 (1.8-2.1)	4.5 (3.0-4.9)	0.9  (0.8-1.0)	0.8 (0.7-0.8)	0.5 (0.4-0.5)	4	1.2 (1.2-1.3)	0.4 (0.4-0.5)	2.9  (2.6-3.0)	
Drosophila	paraanthrax	n sp	male	KAUA`I: Holotype male, Mohihi Stream, Koke`e, 25.vi.1965, KYK, BPBM 16368	0.5	1.4	1.8	4.5	1	0.8	0.5	NA	1.2	0.4	2.7	
